      [(0, 0): R=000, G=000, B=000
       (27, 4): R=000, G=000, B=000
       (28, 4): R=249, G=000, B=253
       (29, 4): R=248, G=000, B=253
       (30, 4): R=251, G=000, B=251
       (31, 4): R=252, G=000, B=251
       (32, 4): R=252, G=000, B=253
       (33, 4): R=252, G=000, B=000
       (34, 4): R=000, G=000, B=000
       (35, 4): R=000, G=254, B=000
       (36, 4): R=000, G=254, B=000
       (37, 4): R=000, G=254, B=000
       (38, 4): R=000, G=000, B=000
       (39, 4): R=254, G=000, B=000
       (40, 4): R=252, G=000, B=000
       (41, 4): R=254, G=000, B=000
       (42, 4): R=000, G=000, B=000
       (43, 4): R=000, G=254, B=000
       (44, 4): R=000, G=254, B=000
       (45, 4): R=000, G=000, B=253
       (46, 4): R=000, G=254, B=000
       (47, 4): R=000, G=000, B=000
       (48, 4): R=000, G=000, B=000
       (49, 4): R=254, G=000, B=000
       (50, 4): R=251, G=000, B=253
       (51, 4): R=251, G=000, B=253
       (52, 4): R=000, G=000, B=000
       (53, 4): R=000, G=254, B=000
       (54, 4): R=000, G=253, B=000
       (55, 4): R=000, G=252, B=000
       (56, 4): R=000, G=252, B=000
       (57, 4): R=000, G=254, B=000
       (58, 4): R=252, G=000, B=000
       (59, 4): R=252, G=000, B=000
       (60, 4): R=000, G=254, B=000
       (61, 4): R=000, G=253, B=000
       (62, 4): R=000, G=253, B=000
       (63, 4): R=000, G=254, B=000
       (64, 4): R=000, G=254, B=000
       (65, 4): R=000, G=000, B=000
       (66, 4): R=000, G=000, B=000
       (67, 4): R=000, G=000, B=000
       (68, 4): R=000, G=000, B=000
       (69, 4): R=000, G=000, B=000
       (70, 4): R=000, G=000, B=000
       (71, 4): R=000, G=000, B=000
       (72, 4): R=000, G=000, B=000
       (73, 4): R=000, G=000, B=000
       (74, 4): R=000, G=000, B=000
       (75, 4): R=000, G=000, B=000
       (76, 4): R=254, G=254, B=254
       (77, 4): R=000, G=000, B=000
       (78, 4): R=000, G=000, B=000
       (79, 4): R=225, G=225, B=225
       (80, 4): R=191, G=191, B=191
       (81, 4): R=000, G=000, B=000
       (82, 4): R=250, G=250, B=250
       (0, 5): R=000, G=000, B=000
       (1, 5): R=254, G=254, B=254
       (2, 5): R=186, G=186, B=186
       (3, 5): R=223, G=223, B=223
       (4, 5): R=253, G=253, B=253
       (5, 5): R=000, G=000, B=000
       (6, 5): R=254, G=254, B=254
       (7, 5): R=000, G=000, B=000
       (8, 5): R=000, G=000, B=000
       (9, 5): R=000, G=000, B=000
       (10, 5): R=000, G=000, B=000
       (11, 5): R=000, G=000, B=000
       (12, 5): R=000, G=000, B=000
       (13, 5): R=000, G=000, B=000
       (14, 5): R=000, G=000, B=000
       (15, 5): R=000, G=000, B=000
       (16, 5): R=254, G=254, B=000
       (17, 5): R=000, G=254, B=000
       (18, 5): R=000, G=254, B=000
       (19, 5): R=000, G=254, B=253
       (20, 5): R=000, G=254, B=251
       (21, 5): R=000, G=000, B=250
       (22, 5): R=254, G=000, B=253
       (23, 5): R=252, G=000, B=000
       (24, 5): R=252, G=000, B=000
       (25, 5): R=254, G=000, B=000
       (26, 5): R=000, G=254, B=000
       (27, 5): R=000, G=254, B=000
       (28, 5): R=252, G=000, B=253
       (29, 5): R=251, G=000, B=253
       (30, 5): R=251, G=000, B=253
       (31, 5): R=251, G=000, B=253
       (32, 5): R=251, G=000, B=254
       (33, 5): R=251, G=000, B=254
       (34, 5): R=253, G=000, B=254
       (35, 5): R=254, G=254, B=254
       (36, 5): R=000, G=253, B=254
       (37, 5): R=254, G=254, B=254
       (38, 5): R=253, G=000, B=254
       (39, 5): R=251, G=000, B=254
       (40, 5): R=251, G=000, B=254
       (41, 5): R=250, G=254, B=253
       (42, 5): R=254, G=254, B=252
       (43, 5): R=000, G=254, B=252
       (44, 5): R=000, G=254, B=252
       (45, 5): R=000, G=254, B=252
       (46, 5): R=000, G=254, B=252
       (47, 5): R=000, G=254, B=252
       (48, 5): R=254, G=252, B=253
       (49, 5): R=253, G=253, B=253
       (50, 5): R=252, G=254, B=253
       (51, 5): R=253, G=254, B=000
       (52, 5): R=000, G=252, B=000
       (53, 5): R=000, G=251, B=000
       (54, 5): R=000, G=251, B=000
       (55, 5): R=000, G=253, B=000
       (56, 5): R=000, G=253, B=000
       (57, 5): R=000, G=254, B=000
       (58, 5): R=254, G=000, B=000
       (59, 5): R=252, G=000, B=000
       (60, 5): R=000, G=000, B=000
       (61, 5): R=000, G=254, B=000
       (62, 5): R=000, G=253, B=000
       (63, 5): R=000, G=253, B=000
       (64, 5): R=000, G=254, B=000
       (65, 5): R=000, G=000, B=000
       (66, 5): R=000, G=000, B=000
       (67, 5): R=000, G=000, B=000
       (68, 5): R=000, G=000, B=000
       (69, 5): R=000, G=000, B=000
       (70, 5): R=000, G=000, B=000
       (71, 5): R=000, G=000, B=000
       (72, 5): R=254, G=254, B=254
       (73, 5): R=000, G=000, B=000
       (74, 5): R=000, G=000, B=000
       (75, 5): R=000, G=000, B=000
       (76, 5): R=254, G=254, B=254
       (77, 5): R=254, G=254, B=254
       (78, 5): R=000, G=000, B=000
       (79, 5): R=225, G=225, B=225
       (80, 5): R=181, G=181, B=181
       (81, 5): R=253, G=253, B=253
       (82, 5): R=253, G=253, B=253
       (0, 6): R=000, G=000, B=000
       (1, 6): R=251, G=251, B=251
       (2, 6): R=188, G=188, B=188
       (3, 6): R=225, G=225, B=225
       (4, 6): R=252, G=252, B=252
       (5, 6): R=000, G=000, B=000
       (6, 6): R=000, G=000, B=000
       (7, 6): R=253, G=253, B=253
       (8, 6): R=000, G=000, B=000
       (9, 6): R=000, G=000, B=000
       (10, 6): R=000, G=000, B=000
       (11, 6): R=000, G=000, B=000
       (12, 6): R=000, G=000, B=000
       (13, 6): R=000, G=000, B=000
       (14, 6): R=000, G=000, B=000
       (15, 6): R=254, G=000, B=000
       (16, 6): R=251, G=000, B=000
       (17, 6): R=251, G=000, B=000
       (18, 6): R=252, G=000, B=000
       (19, 6): R=254, G=000, B=251
       (20, 6): R=000, G=000, B=250
       (21, 6): R=000, G=000, B=251
       (22, 6): R=252, G=000, B=000
       (23, 6): R=252, G=000, B=000
       (24, 6): R=000, G=254, B=000
       (25, 6): R=000, G=254, B=000
       (26, 6): R=000, G=000, B=000
       (27, 6): R=000, G=000, B=253
       (28, 6): R=000, G=253, B=253
       (29, 6): R=000, G=253, B=000
       (30, 6): R=000, G=254, B=000
       (31, 6): R=000, G=254, B=000
       (32, 6): R=254, G=000, B=000
       (33, 6): R=253, G=000, B=254
       (34, 6): R=251, G=000, B=254
       (35, 6): R=251, G=000, B=254
       (36, 6): R=251, G=000, B=254
       (37, 6): R=251, G=000, B=254
       (38, 6): R=251, G=000, B=254
       (39, 6): R=252, G=000, B=000
       (40, 6): R=251, G=000, B=254
       (41, 6): R=249, G=000, B=253
       (42, 6): R=250, G=000, B=254
       (43, 6): R=250, G=000, B=254
       (44, 6): R=252, G=000, B=000
       (45, 6): R=253, G=000, B=254
       (46, 6): R=000, G=253, B=254
       (47, 6): R=000, G=254, B=000
       (48, 6): R=000, G=253, B=000
       (49, 6): R=000, G=253, B=000
       (50, 6): R=000, G=252, B=000
       (51, 6): R=000, G=252, B=000
       (52, 6): R=000, G=252, B=000
       (53, 6): R=000, G=253, B=000
       (54, 6): R=000, G=000, B=000
       (55, 6): R=000, G=000, B=000
       (56, 6): R=000, G=253, B=000
       (57, 6): R=000, G=253, B=000
       (58, 6): R=000, G=254, B=000
       (59, 6): R=000, G=000, B=253
       (60, 6): R=254, G=000, B=253
       (61, 6): R=000, G=000, B=253
       (62, 6): R=000, G=254, B=000
       (63, 6): R=000, G=254, B=000
       (64, 6): R=000, G=254, B=000
       (65, 6): R=000, G=000, B=000
       (66, 6): R=000, G=000, B=000
       (67, 6): R=000, G=000, B=000
       (68, 6): R=000, G=000, B=000
       (69, 6): R=000, G=000, B=000
       (70, 6): R=000, G=000, B=000
       (71, 6): R=000, G=000, B=000
       (72, 6): R=254, G=254, B=254
       (73, 6): R=000, G=000, B=000
       (74, 6): R=254, G=254, B=254
       (75, 6): R=000, G=000, B=000
       (76, 6): R=000, G=000, B=000
       (77, 6): R=254, G=254, B=254
       (78, 6): R=000, G=000, B=000
       (79, 6): R=226, G=226, B=226
       (80, 6): R=185, G=185, B=185
       (81, 6): R=000, G=000, B=000
       (82, 6): R=000, G=000, B=000
       (0, 7): R=254, G=254, B=254
       (1, 7): R=000, G=000, B=000
       (2, 7): R=184, G=184, B=184
       (3, 7): R=223, G=223, B=223
       (4, 7): R=000, G=000, B=000
       (5, 7): R=000, G=000, B=000
       (6, 7): R=000, G=000, B=000
       (7, 7): R=000, G=000, B=000
       (8, 7): R=000, G=000, B=000
       (9, 7): R=000, G=000, B=000
       (10, 7): R=000, G=000, B=000
       (11, 7): R=000, G=000, B=000
       (12, 7): R=000, G=000, B=000
       (13, 7): R=000, G=000, B=000
       (14, 7): R=000, G=000, B=000
       (15, 7): R=254, G=000, B=000
       (16, 7): R=251, G=000, B=000
       (17, 7): R=251, G=000, B=000
       (18, 7): R=251, G=000, B=000
       (19, 7): R=252, G=000, B=253
       (20, 7): R=254, G=000, B=253
       (21, 7): R=254, G=000, B=000
       (22, 7): R=252, G=000, B=000
       (23, 7): R=254, G=000, B=000
       (24, 7): R=000, G=253, B=000
       (25, 7): R=000, G=253, B=000
       (26, 7): R=000, G=254, B=000
       (27, 7): R=000, G=000, B=253
       (28, 7): R=000, G=253, B=253
       (29, 7): R=000, G=253, B=000
       (30, 7): R=000, G=253, B=000
       (31, 7): R=000, G=254, B=000
       (32, 7): R=000, G=000, B=000
       (33, 7): R=000, G=254, B=251
       (34, 7): R=000, G=250, B=249
       (35, 7): R=000, G=247, B=247
       (36, 7): R=000, G=244, B=243
       (37, 7): R=000, G=242, B=240
       (38, 7): R=000, G=242, B=237
       (39, 7): R=000, G=242, B=236
       (40, 7): R=000, G=240, B=235
       (41, 7): R=000, G=239, B=232
       (42, 7): R=000, G=238, B=234
       (43, 7): R=000, G=239, B=235
       (44, 7): R=000, G=240, B=238
       (45, 7): R=000, G=240, B=237
       (46, 7): R=000, G=241, B=239
       (47, 7): R=000, G=245, B=243
       (48, 7): R=000, G=248, B=250
       (49, 7): R=000, G=250, B=252
       (50, 7): R=000, G=252, B=252
       (51, 7): R=000, G=254, B=252
       (52, 7): R=000, G=254, B=000
       (53, 7): R=000, G=254, B=000
       (54, 7): R=254, G=000, B=000
       (55, 7): R=000, G=000, B=000
       (56, 7): R=000, G=253, B=000
       (57, 7): R=000, G=253, B=000
       (58, 7): R=000, G=254, B=000
       (59, 7): R=254, G=000, B=253
       (60, 7): R=252, G=000, B=253
       (61, 7): R=254, G=000, B=253
       (62, 7): R=000, G=000, B=253
       (63, 7): R=000, G=000, B=253
       (64, 7): R=000, G=000, B=000
       (65, 7): R=000, G=000, B=000
       (66, 7): R=000, G=000, B=000
       (67, 7): R=000, G=000, B=000
       (68, 7): R=000, G=000, B=000
       (69, 7): R=000, G=000, B=000
       (70, 7): R=000, G=000, B=000
       (71, 7): R=000, G=000, B=000
       (72, 7): R=254, G=254, B=254
       (73, 7): R=000, G=000, B=000
       (74, 7): R=253, G=253, B=253
       (75, 7): R=000, G=000, B=000
       (76, 7): R=000, G=000, B=000
       (77, 7): R=254, G=254, B=254
       (78, 7): R=254, G=254, B=254
       (79, 7): R=225, G=225, B=225
       (80, 7): R=185, G=185, B=185
       (81, 7): R=000, G=000, B=000
       (82, 7): R=000, G=000, B=000
       (0, 8): R=000, G=000, B=000
       (1, 8): R=254, G=254, B=254
       (2, 8): R=186, G=186, B=186
       (3, 8): R=223, G=223, B=223
       (4, 8): R=000, G=000, B=000
       (5, 8): R=000, G=000, B=000
       (6, 8): R=000, G=000, B=000
       (7, 8): R=000, G=000, B=000
       (8, 8): R=000, G=000, B=000
       (9, 8): R=000, G=000, B=000
       (10, 8): R=000, G=000, B=000
       (11, 8): R=000, G=000, B=000
       (12, 8): R=000, G=000, B=000
       (13, 8): R=000, G=000, B=000
       (14, 8): R=000, G=000, B=000
       (15, 8): R=000, G=000, B=000
       (16, 8): R=254, G=000, B=253
       (17, 8): R=254, G=000, B=253
       (18, 8): R=000, G=000, B=253
       (19, 8): R=254, G=000, B=000
       (20, 8): R=251, G=000, B=000
       (21, 8): R=251, G=000, B=000
       (22, 8): R=252, G=000, B=000
       (23, 8): R=000, G=254, B=000
       (24, 8): R=000, G=251, B=000
       (25, 8): R=000, G=252, B=000
       (26, 8): R=000, G=251, B=253
       (27, 8): R=000, G=253, B=252
       (28, 8): R=000, G=000, B=000
       (29, 8): R=254, G=000, B=000
       (30, 8): R=248, G=253, B=000
       (31, 8): R=252, G=000, B=000
       (32, 8): R=000, G=000, B=253
       (33, 8): R=000, G=248, B=244
       (34, 8): R=000, G=240, B=239
       (35, 8): R=000, G=229, B=232
       (36, 8): R=000, G=168, B=167
       (37, 8): R=242, G=108, B=105
       (38, 8): R=206, G=64, B=54
       (39, 8): R=195, G=43, B=30
       (40, 8): R=189, G=27, B=14
       (41, 8): R=201, G=33, B=20
       (42, 8): R=199, G=25, B=16
       (43, 8): R=198, G=27, B=20
       (44, 8): R=211, G=53, B=50
       (45, 8): R=227, G=90, B=84
       (46, 8): R=000, G=149, B=140
       (47, 8): R=000, G=219, B=211
       (48, 8): R=000, G=238, B=232
       (49, 8): R=000, G=245, B=237
       (50, 8): R=000, G=000, B=244
       (51, 8): R=251, G=000, B=250
       (52, 8): R=250, G=254, B=253
       (53, 8): R=254, G=000, B=000
       (54, 8): R=000, G=000, B=000
       (55, 8): R=000, G=253, B=254
       (56, 8): R=000, G=254, B=000
       (57, 8): R=254, G=254, B=254
       (58, 8): R=251, G=000, B=000
       (59, 8): R=248, G=000, B=000
       (60, 8): R=246, G=252, B=252
       (61, 8): R=252, G=000, B=000
       (62, 8): R=252, G=000, B=251
       (63, 8): R=251, G=000, B=250
       (64, 8): R=254, G=000, B=253
       (65, 8): R=000, G=000, B=000
       (66, 8): R=000, G=000, B=000
       (67, 8): R=000, G=000, B=000
       (68, 8): R=000, G=000, B=000
       (69, 8): R=000, G=000, B=000
